feature_set;feature;mean_abs_shap;rank
FS1_TIME;COS_HOUR;0,1049077780600704;1,0
FS1_TIME;COS_DAY;0,08917063369920429;2,0
FS1_TIME;SIN_HOUR;0,041094430706072896;3,0
FS2_GIS_TIME;COS_DAY;0,03935909619357428;1,0
FS2_GIS_TIME;SOLAR_RADIATION_GLOBALRAD;0,03908049164408903;2,0
FS2_GIS_TIME;SOLAR_RADIATION_DIFFUSERAD;0,03736641682594838;3,0
FS2_GIS_TIME;SIN_HOUR;0,03513866816450149;4,0
FS2_GIS_TIME;SOLAR_RADIATION_DIRECTRAD;0,03155721594686896;5,0
FS2_GIS_TIME;COS_HOUR;0,024858726020606393;6,0
FS2_GIS_TIME;PV_SUMME_INSTALLIERT;0,0049164541595189196;7,0
FS2_GIS_TIME;HEIGHT;0,0033757785872517146;8,0
FS3_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_VALUE;0,14670035120478347;1,0
FS3_GIS_SENSOR_TIME;COS_HOUR;0,02349205549090369;2,0
FS3_GIS_SENSOR_TIME;SIN_HOUR;0,016538897972532194;3,0
FS3_GIS_SENSOR_TIME;HEIGHT;0,01287346818972087;4,0
FS3_GIS_SENSOR_TIME;SOLAR_RADIATION_GLOBALRAD;0,012872296414119353;5,0
FS3_GIS_SENSOR_TIME;PV_SUMME_INSTALLIERT;0,01127601315384985;6,0
FS3_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_DISTANCE;0,011133490987619728;7,0
FS3_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_TEMPERATURE;0,010024786596239434;8,0
FS3_GIS_SENSOR_TIME;SOLAR_RADIATION_DIRECTRAD;0,007869491440801298;9,0
FS3_GIS_SENSOR_TIME;COS_DAY;0,0062386613955786215;10,0
FS3_GIS_SENSOR_TIME;SOLAR_RADIATION_DIFFUSERAD;0,004402506695197726;11,0
FS4_SEV4_TIME;COS_HOUR;0,10131759732374628;1,0
FS4_SEV4_TIME;COS_DAY;0,07759776493869902;2,0
FS4_SEV4_TIME;IR_108;0,044500272351930235;3,0
FS4_SEV4_TIME;SIN_HOUR;0,03861674690435897;4,0
FS4_SEV4_TIME;VIS006;0,031060081872633833;5,0
FS4_SEV4_TIME;IR_039;0,016921395388793833;6,0
FS4_SEV4_TIME;WV_062;0,003756722427958649;7,0
FS5_SEV4_GIS_TIME;SOLAR_RADIATION_DIFFUSERAD;0,06254613984140156;1,0
FS5_SEV4_GIS_TIME;SOLAR_RADIATION_GLOBALRAD;0,05375962149815526;2,0
FS5_SEV4_GIS_TIME;VIS006;0,05306681059557259;3,0
FS5_SEV4_GIS_TIME;SIN_HOUR;0,03757809159974678;4,0
FS5_SEV4_GIS_TIME;SOLAR_RADIATION_DIRECTRAD;0,0336311074114469;5,0
FS5_SEV4_GIS_TIME;IR_108;0,030465918932452166;6,0
FS5_SEV4_GIS_TIME;COS_HOUR;0,024429174769447535;7,0
FS5_SEV4_GIS_TIME;HEIGHT;0,009911847406620834;8,0
FS5_SEV4_GIS_TIME;COS_DAY;0,009786453957817758;9,0
FS5_SEV4_GIS_TIME;PV_SUMME_INSTALLIERT;0,008637150070871734;10,0
FS5_SEV4_GIS_TIME;IR_039;0,004042607556903871;11,0
FS5_SEV4_GIS_TIME;WV_062;0,003294445101700006;12,0
FS6_SEV4_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_VALUE;0,1032161248519012;1,0
FS6_SEV4_GIS_SENSOR_TIME;COS_HOUR;0,030710251854089068;2,0
FS6_SEV4_GIS_SENSOR_TIME;VIS006;0,02398618308595109;3,0
FS6_SEV4_GIS_SENSOR_TIME;SOLAR_RADIATION_DIFFUSERAD;0,02181818691916426;4,0
FS6_SEV4_GIS_SENSOR_TIME;IR_108;0,02138817324553909;5,0
FS6_SEV4_GIS_SENSOR_TIME;SIN_HOUR;0,021356575270340815;6,0
FS6_SEV4_GIS_SENSOR_TIME;SOLAR_RADIATION_GLOBALRAD;0,020242677582457458;7,0
FS6_SEV4_GIS_SENSOR_TIME;HEIGHT;0,013920819781532265;8,0
FS6_SEV4_GIS_SENSOR_TIME;SOLAR_RADIATION_DIRECTRAD;0,01367144034865871;9,0
FS6_SEV4_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_DISTANCE;0,011333750364884319;10,0
FS6_SEV4_GIS_SENSOR_TIME;PV_SUMME_INSTALLIERT;0,010429517172113633;11,0
FS6_SEV4_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_TEMPERATURE;0,006529735102434415;12,0
FS6_SEV4_GIS_SENSOR_TIME;COS_DAY;0,005345635947807465;13,0
FS6_SEV4_GIS_SENSOR_TIME;IR_039;0,0024100189416256493;14,0
FS6_SEV4_GIS_SENSOR_TIME;WV_062;0,0018640070109418377;15,0
FS7_SEV12_TIME;COS_HOUR;0,09236682354118383;1,0
FS7_SEV12_TIME;COS_DAY;0,07556740618528147;2,0
FS7_SEV12_TIME;IR_087;0,06653267051459154;3,0
FS7_SEV12_TIME;VIS006;0,058752962037973734;4,0
FS7_SEV12_TIME;VIS008;0,05566422653381081;5,0
FS7_SEV12_TIME;SIN_HOUR;0,0365207122557399;6,0
FS7_SEV12_TIME;IR_097;0,02267411108282151;7,0
FS7_SEV12_TIME;WV_073;0,008858923274228013;8,0
FS7_SEV12_TIME;IR_039;0,008216377319994519;9,0
FS7_SEV12_TIME;IR_120;0,006941715742143643;10,0
FS7_SEV12_TIME;IR_016;0,005211989011197906;11,0
FS7_SEV12_TIME;HRV;0,004705854785090622;12,0
FS7_SEV12_TIME;IR_108;0,004089119946808908;13,0
FS7_SEV12_TIME;WV_062;0,003744697092990427;14,0
FS7_SEV12_TIME;IR_134;0,0035224123089585275;15,0
FS8_SEV12_GIS_TIME;VIS006;0,07775682007918783;1,0
FS8_SEV12_GIS_TIME;SOLAR_RADIATION_DIFFUSERAD;0,051706118384138515;2,0
FS8_SEV12_GIS_TIME;SOLAR_RADIATION_GLOBALRAD;0,04730248680195298;3,0
FS8_SEV12_GIS_TIME;VIS008;0,0416443111770039;4,0
FS8_SEV12_GIS_TIME;IR_087;0,03950002548020606;5,0
FS8_SEV12_GIS_TIME;SOLAR_RADIATION_DIRECTRAD;0,03490596980234599;6,0
FS8_SEV12_GIS_TIME;SIN_HOUR;0,03140274324043513;7,0
FS8_SEV12_GIS_TIME;COS_HOUR;0,0174942096586664;8,0
FS8_SEV12_GIS_TIME;HEIGHT;0,014694228034952904;9,0
FS8_SEV12_GIS_TIME;COS_DAY;0,013107059622547263;10,0
FS8_SEV12_GIS_TIME;PV_SUMME_INSTALLIERT;0,01183339118679983;11,0
FS8_SEV12_GIS_TIME;IR_120;0,009458253433219191;12,0
FS8_SEV12_GIS_TIME;IR_097;0,009029674191688868;13,0
FS8_SEV12_GIS_TIME;WV_073;0,008536778653466616;14,0
FS8_SEV12_GIS_TIME;IR_016;0,005338785167441323;15,0
FS8_SEV12_GIS_TIME;HRV;0,004934416189521387;16,0
FS8_SEV12_GIS_TIME;IR_039;0,00446616841052738;17,0
FS8_SEV12_GIS_TIME;IR_134;0,003210184612036591;18,0
FS8_SEV12_GIS_TIME;WV_062;0,002936978914243535;19,0
FS8_SEV12_GIS_TIME;IR_108;0,0006513236705054465;20,0
FS9_SEV12_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_VALUE;0,09867582642095667;1,0
FS9_SEV12_GIS_SENSOR_TIME;COS_HOUR;0,029912142790631494;2,0
FS9_SEV12_GIS_SENSOR_TIME;IR_087;0,020729374967492935;3,0
FS9_SEV12_GIS_SENSOR_TIME;SIN_HOUR;0,02034374079145735;4,0
FS9_SEV12_GIS_SENSOR_TIME;VIS006;0,020010229108679913;5,0
FS9_SEV12_GIS_SENSOR_TIME;SOLAR_RADIATION_GLOBALRAD;0,01950381356371684;6,0
FS9_SEV12_GIS_SENSOR_TIME;SOLAR_RADIATION_DIRECTRAD;0,0163708112520262;7,0
FS9_SEV12_GIS_SENSOR_TIME;HEIGHT;0,013966689209134452;8,0
FS9_SEV12_GIS_SENSOR_TIME;SOLAR_RADIATION_DIFFUSERAD;0,013419105884185795;9,0
FS9_SEV12_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_DISTANCE;0,01143553911125574;10,0
FS9_SEV12_GIS_SENSOR_TIME;PV_SUMME_INSTALLIERT;0,010533709280937126;11,0
FS9_SEV12_GIS_SENSOR_TIME;IR_016;0,009313064682819599;12,0
FS9_SEV12_GIS_SENSOR_TIME;IR_108;0,007839880550539614;13,0
FS9_SEV12_GIS_SENSOR_TIME;HRV;0,00708088601719451;14,0
FS9_SEV12_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_TEMPERATURE;0,006060137522598448;15,0
FS9_SEV12_GIS_SENSOR_TIME;VIS008;0,0058601193055173835;16,0
FS9_SEV12_GIS_SENSOR_TIME;COS_DAY;0,005845521611931988;17,0
FS9_SEV12_GIS_SENSOR_TIME;IR_120;0,0036258490454137856;18,0
FS9_SEV12_GIS_SENSOR_TIME;WV_073;0,002137774232924277;19,0
FS9_SEV12_GIS_SENSOR_TIME;IR_097;0,0019893041187916435;20,0
FS9_SEV12_GIS_SENSOR_TIME;IR_039;0,00125230811827016;21,0
FS9_SEV12_GIS_SENSOR_TIME;WV_062;0,0009823080277432162;22,0
FS9_SEV12_GIS_SENSOR_TIME;IR_134;0,0009540195123228756;23,0
