feature;FS1_TIME;FS2_GIS_TIME;FS3_GIS_SENSOR_TIME;FS4_SEV4_TIME;FS5_SEV4_GIS_TIME;FS6_SEV4_GIS_SENSOR_TIME;FS7_SEV12_TIME;FS8_SEV12_GIS_TIME;FS9_SEV12_GIS_SENSOR_TIME
COS_DAY;0,08917063369920429;0,03935909619357428;0,0062386613955786215;0,07759776493869902;0,009786453957817758;0,005345635947807465;0,07556740618528147;0,013107059622547263;0,005845521611931988
COS_HOUR;0,1049077780600704;0,024858726020606393;0,02349205549090369;0,10131759732374628;0,024429174769447535;0,030710251854089068;0,09236682354118383;0,0174942096586664;0,029912142790631494
GLOBAL_RADIATION_SENSOR_DISTANCE;;;0,011133490987619728;;;0,011333750364884319;;;0,01143553911125574
GLOBAL_RADIATION_SENSOR_TEMPERATURE;;;0,010024786596239434;;;0,006529735102434415;;;0,006060137522598448
GLOBAL_RADIATION_SENSOR_VALUE;;;0,14670035120478347;;;0,1032161248519012;;;0,09867582642095667
HEIGHT;;0,0033757785872517146;0,01287346818972087;;0,009911847406620834;0,013920819781532265;;0,014694228034952904;0,013966689209134452
HRV;;;;;;;0,004705854785090622;0,004934416189521387;0,00708088601719451
IR_016;;;;;;;0,005211989011197906;0,005338785167441323;0,009313064682819599
IR_039;;;;0,016921395388793833;0,004042607556903871;0,0024100189416256493;0,008216377319994519;0,00446616841052738;0,00125230811827016
IR_087;;;;;;;0,06653267051459154;0,03950002548020606;0,020729374967492935
IR_097;;;;;;;0,02267411108282151;0,009029674191688868;0,0019893041187916435
IR_108;;;;0,044500272351930235;0,030465918932452166;0,02138817324553909;0,004089119946808908;0,0006513236705054465;0,007839880550539614
IR_120;;;;;;;0,006941715742143643;0,009458253433219191;0,0036258490454137856
IR_134;;;;;;;0,0035224123089585275;0,003210184612036591;0,0009540195123228756
PV_SUMME_INSTALLIERT;;0,0049164541595189196;0,01127601315384985;;0,008637150070871734;0,010429517172113633;;0,01183339118679983;0,010533709280937126
SIN_HOUR;0,041094430706072896;0,03513866816450149;0,016538897972532194;0,03861674690435897;0,03757809159974678;0,021356575270340815;0,0365207122557399;0,03140274324043513;0,02034374079145735
SOLAR_RADIATION_DIFFUSERAD;;0,03736641682594838;0,004402506695197726;;0,06254613984140156;0,02181818691916426;;0,051706118384138515;0,013419105884185795
SOLAR_RADIATION_DIRECTRAD;;0,03155721594686896;0,007869491440801298;;0,0336311074114469;0,01367144034865871;;0,03490596980234599;0,0163708112520262
SOLAR_RADIATION_GLOBALRAD;;0,03908049164408903;0,012872296414119353;;0,05375962149815526;0,020242677582457458;;0,04730248680195298;0,01950381356371684
VIS006;;;;0,031060081872633833;0,05306681059557259;0,02398618308595109;0,058752962037973734;0,07775682007918783;0,020010229108679913
VIS008;;;;;;;0,05566422653381081;0,0416443111770039;0,0058601193055173835
WV_062;;;;0,003756722427958649;0,003294445101700006;0,0018640070109418377;0,003744697092990427;0,002936978914243535;0,0009823080277432162
WV_073;;;;;;;0,008858923274228013;0,008536778653466616;0,002137774232924277
