Feature-Set;Startzeit;Laufzeit;Beste Iteration;Test-RMSE (bestTest)
FS1_TIME;22:32:33;00:29:37;38;0,1243
FS2_GIS_TIME;23:02:10;00:33:29;26;0,1246
FS3_GIS_SENSOR_TIME;23:35:39;01:13:48;181;0,0692
FS4_SEV4_TIME;00:49:27;00:33:31;31;0,1104
FS5_SEV4_GIS_TIME;01:22:58;01:18:23;95;0,0834
FS6_SEV4_GIS_SENSOR_TIME;02:41:21;01:49:30;572;0,0611
FS7_SEV12_TIME;04:30:51;00:41:24;242;0,1044
FS8_SEV12_GIS_TIME;05:12:15;01:33:48;250;0,0784
FS9_SEV12_GIS_SENSOR_TIME;06:46:03;02:18:57;384;0,0608
Gesamt;22:32:33;10:32:27;–;–
