FEATURE_SET;FEATURE_NAME;MEAN_ABS_SHAP;RANK;N_SAMPLES
FS1_TIME;COS_HOUR;0,1049077780600704;1;5000
FS1_TIME;COS_DAY;0,08917063369920429;2;5000
FS1_TIME;SIN_HOUR;0,041094430706072896;3;5000
FS2_GIS_TIME;COS_DAY;0,03937150692255021;1;5000
FS2_GIS_TIME;SOLAR_RADIATION_GLOBALRAD;0,03908455634958011;2;5000
FS2_GIS_TIME;SOLAR_RADIATION_DIFFUSERAD;0,037464254483101964;3;5000
FS2_GIS_TIME;SIN_HOUR;0,03511847369972227;4;5000
FS2_GIS_TIME;SOLAR_RADIATION_DIRECTRAD;0,03162197401595818;5;5000
FS2_GIS_TIME;COS_HOUR;0,02484607152498751;6;5000
FS2_GIS_TIME;PV_SUMME_INSTALLIERT;0,005190876428242252;7;5000
FS2_GIS_TIME;HEIGHT;0,0035361921229052134;8;5000
FS3_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_VALUE;0,14591556415876175;1;5000
FS3_GIS_SENSOR_TIME;COS_HOUR;0,023480731314890375;2;5000
FS3_GIS_SENSOR_TIME;SIN_HOUR;0,016578997962457934;3;5000
FS3_GIS_SENSOR_TIME;SOLAR_RADIATION_GLOBALRAD;0,012787965695155102;4;5000
FS3_GIS_SENSOR_TIME;HEIGHT;0,012784095355290695;5;5000
FS3_GIS_SENSOR_TIME;PV_SUMME_INSTALLIERT;0,011502035235659267;6;5000
FS3_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_DISTANCE;0,011334993106072213;7;5000
FS3_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_TEMPERATURE;0,009812507388310061;8;5000
FS3_GIS_SENSOR_TIME;SOLAR_RADIATION_DIRECTRAD;0,007914608767539;9;5000
FS3_GIS_SENSOR_TIME;COS_DAY;0,00615066555428292;10;5000
FS3_GIS_SENSOR_TIME;SOLAR_RADIATION_DIFFUSERAD;0,004368008216368999;11;5000
FS4_SEV4_TIME;COS_HOUR;0,10127077674303467;1;5000
FS4_SEV4_TIME;COS_DAY;0,07747738368741335;2;5000
FS4_SEV4_TIME;IR_108;0,04475838056462208;3;5000
FS4_SEV4_TIME;SIN_HOUR;0,038621164215437015;4;5000
FS4_SEV4_TIME;VIS006;0,031497675010953415;5;5000
FS4_SEV4_TIME;IR_039;0,01728639197851531;6;5000
FS4_SEV4_TIME;WV_062;0,0037051560812105208;7;5000
FS5_SEV4_GIS_TIME;SOLAR_RADIATION_DIFFUSERAD;0,062490027476713235;1;5000
FS5_SEV4_GIS_TIME;SOLAR_RADIATION_GLOBALRAD;0,0536872378047354;2;5000
FS5_SEV4_GIS_TIME;VIS006;0,05355480722208364;3;5000
FS5_SEV4_GIS_TIME;SIN_HOUR;0,037577623689489525;4;5000
FS5_SEV4_GIS_TIME;SOLAR_RADIATION_DIRECTRAD;0,03374694570924346;5;5000
FS5_SEV4_GIS_TIME;IR_108;0,03045329399759489;6;5000
FS5_SEV4_GIS_TIME;COS_HOUR;0,024473969059533543;7;5000
FS5_SEV4_GIS_TIME;COS_DAY;0,009881017052387099;8;5000
FS5_SEV4_GIS_TIME;HEIGHT;0,00985929236126004;9;5000
FS5_SEV4_GIS_TIME;PV_SUMME_INSTALLIERT;0,008836250993934973;10;5000
FS5_SEV4_GIS_TIME;IR_039;0,0039939894342429175;11;5000
FS5_SEV4_GIS_TIME;WV_062;0,003263315816618885;12;5000
FS6_SEV4_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_VALUE;0,10253888161365318;1;5000
FS6_SEV4_GIS_SENSOR_TIME;COS_HOUR;0,030786298413946367;2;5000
FS6_SEV4_GIS_SENSOR_TIME;VIS006;0,024281722342067862;3;5000
FS6_SEV4_GIS_SENSOR_TIME;SOLAR_RADIATION_DIFFUSERAD;0,02180032312926978;4;5000
FS6_SEV4_GIS_SENSOR_TIME;IR_108;0,02145914071106734;5;5000
FS6_SEV4_GIS_SENSOR_TIME;SIN_HOUR;0,02144446590616995;6;5000
FS6_SEV4_GIS_SENSOR_TIME;SOLAR_RADIATION_GLOBALRAD;0,020190140439250347;7;5000
FS6_SEV4_GIS_SENSOR_TIME;HEIGHT;0,01381274330381492;8;5000
FS6_SEV4_GIS_SENSOR_TIME;SOLAR_RADIATION_DIRECTRAD;0,013710699167700293;9;5000
FS6_SEV4_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_DISTANCE;0,011474877186019318;10;5000
FS6_SEV4_GIS_SENSOR_TIME;PV_SUMME_INSTALLIERT;0,010573778564939707;11;5000
FS6_SEV4_GIS_SENSOR_TIME;GLOBAL_RADIATION_SENSOR_TEMPERATURE;0,0064057531157312554;12;5000
FS6_SEV4_GIS_SENSOR_TIME;COS_DAY;0,005362454687633937;13;5000
FS6_SEV4_GIS_SENSOR_TIME;IR_039;0,0024138358924528235;14;5000
FS6_SEV4_GIS_SENSOR_TIME;WV_062;0,001843568586726533;15;5000
FS7_SEV12_TIME;COS_HOUR;0,09228261108414966;1;5000
FS7_SEV12_TIME;COS_DAY;0,07533659820933843;2;5000
FS7_SEV12_TIME;IR_087;0,06688505584697195;3;5000
FS7_SEV12_TIME;VIS006;0,059453426437449775;4;5000
FS7_SEV12_TIME;VIS008;0,055074802174089985;5;5000
FS7_SEV12_TIME;SIN_HOUR;0,03654452978905499;6;5000
FS7_SEV12_TIME;IR_097;0,02271677293945353;7;5000
FS7_SEV12_TIME;WV_073;0,008900049373225449;8;5000
FS7_SEV12_TIME;IR_039;0,008381825869882592;9;5000
FS7_SEV12_TIME;IR_120;0,006979300852190133;10;5000
FS7_SEV12_TIME;IR_016;0,005159572868865692;11;5000
FS7_SEV12_TIME;HRV;0,004712465815722245;12;5000
FS7_SEV12_TIME;IR_108;0,004105608000296143;13;5000
FS7_SEV12_TIME;WV_062;0,00374413171242087;14;5000
FS7_SEV12_TIME;IR_134;0,003558149045295118;15;5000
FS8_SEV12_GIS_TIME;VIS006;0,07862275120066545;1;5000
FS8_SEV12_GIS_TIME;SOLAR_RADIATION_DIFFUSERAD;0,05175445221270276;2;5000
FS8_SEV12_GIS_TIME;SOLAR_RADIATION_GLOBALRAD;0,04726410292134943;3;5000
FS8_SEV12_GIS_TIME;VIS008;0,04135903304045356;4;5000
FS8_SEV12_GIS_TIME;IR_087;0,039602650938064005;5;5000
FS8_SEV12_GIS_TIME;SOLAR_RADIATION_DIRECTRAD;0,03496963216810371;6;5000
FS8_SEV12_GIS_TIME;SIN_HOUR;0,031540485314426506;7;5000
FS8_SEV12_GIS_TIME;COS_HOUR;0,01760205558803689;8;5000
FS8_SEV12_GIS_TIME;HEIGHT;0,014500288940482662;9;5000
FS8_SEV12_GIS_TIME;COS_DAY;0,013261234178041524;10;5000
FS8_SEV12_GIS_TIME;PV_SUMME_INSTALLIERT;0,01203251716858696;11;5000
FS8_SEV12_GIS_TIME;IR_120;0,009473049114374337;12;5000
FS8_SEV12_GIS_TIME;IR_097;0,009044690132552591;13;5000
