FEATURE_NAME;FS1_TIME;FS2_GIS_TIME;FS3_GIS_SENSOR_TIME;FS4_SEV4_TIME;FS5_SEV4_GIS_TIME;FS6_SEV4_GIS_SENSOR_TIME;FS7_SEV12_TIME;FS8_SEV12_GIS_TIME;FS9_SEV12_GIS_SENSOR_TIME
COS_DAY;0,08917063369920429;0,03937150692255021;0,00615066555428292;0,07747738368741335;0,009881017052387099;0,005362454687633937;0,07533659820933843;0,013261234178041524;0,005445814798912467
COS_HOUR;0,1049077780600704;0,02484607152498751;0,023480731314890375;0,10127077674303467;0,024473969059533543;0,030786298413946367;0,09228261108414966;0,01760205558803689;0,030659319955584585
GLOBAL_RADIATION_SENSOR_DISTANCE;;;0,011334993106072213;;;0,011474877186019318;;;0,0118413723486376
GLOBAL_RADIATION_SENSOR_TEMPERATURE;;;0,009812507388310061;;;0,0064057531157312554;;;0,005680850746228189
GLOBAL_RADIATION_SENSOR_VALUE;;;0,14591556415876175;;;0,10253888161365318;;;0,09627704042586206
HEIGHT;;0,0035361921229052134;0,012784095355290695;;0,00985929236126004;0,01381274330381492;;0,014500288940482662;0,01406526583806346
HRV;;;;;;;0,004712465815722245;0,004947977818427797;0,007288731973679315
IR_016;;;;;;;0,005159572868865692;0,005341555350076513;0,008250982322253301
IR_039;;;;0,01728639197851531;0,0039939894342429175;0,0024138358924528235;0,008381825869882592;0,004444471387476776;0,0017227891091381707
IR_087;;;;;;;0,06688505584697195;0,039602650938064005;0,019742133678006563
IR_097;;;;;;;0,02271677293945353;0,009044690132552591;0,0014089125638304838
IR_108;;;;0,04475838056462208;0,03045329399759489;0,02145914071106734;0,004105608000296143;0,0006563246299079156;0,006722302046086301
IR_120;;;;;;;0,006979300852190133;0,009473049114374337;0,003062946568664919
IR_134;;;;;;;0,003558149045295118;0,0032580499578606214;0,000975621843269186
PV_SUMME_INSTALLIERT;;0,005190876428242252;0,011502035235659267;;0,008836250993934973;0,010573778564939707;;0,01203251716858696;0,010004256962412906
SIN_HOUR;0,041094430706072896;0,03511847369972227;0,016578997962457934;0,038621164215437015;0,037577623689489525;0,02144446590616995;0,03654452978905499;0,031540485314426506;0,020636639504649727
SOLAR_RADIATION_DIFFUSERAD;;0,037464254483101964;0,004368008216368999;;0,062490027476713235;0,02180032312926978;;0,05175445221270276;0,006722728959404904
SOLAR_RADIATION_DIRECTRAD;;0,03162197401595818;0,007914608767539;;0,03374694570924346;0,013710699167700293;;0,03496963216810371;0,023048386875857224
SOLAR_RADIATION_GLOBALRAD;;0,03908455634958011;0,012787965695155102;;0,0536872378047354;0,020190140439250347;;0,04726410292134943;0,021902303418841997
VIS006;;;;0,031497675010953415;0,05355480722208364;0,024281722342067862;0,059453426437449775;0,07862275120066545;0,02210474463226776
VIS008;;;;;;;0,055074802174089985;0,04135903304045356;0,00732070067514718
WV_062;;;;0,0037051560812105208;0,003263315816618885;0,001843568586726533;0,00374413171242087;0,002926934043010947;0,0011924192898053268
WV_073;;;;;;;0,008900049373225449;0,008600727384789873;0,0020778704658877484
