SCENARIO;FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;0;0,0022775344794255274;0,0022775344794255274;0,0;0,02591337867622456;0,02591337867622456;0,0;0,0477235212387511;0,0477235212387511;0,0;0,0;100,0;0,0
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;15;0,003919134934579563;0,003727837957969365;6,444183715016569e-05;0,030486023121387356;0,03002233339365899;0,004749948593010579;0,06260299461351321;0,061056023109676616;0,008027567324548932;0,0015469715038365917;98,30070984653877;1,6992901534612244
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;30;0,006590674597756098;0,00606719882371945;0,00019117983290680888;0,046816306921850674;0,04522621776940044;0,0113264218862377;0,08118296987519055;0,07789222569499121;0,013826779556599899;0,00329074418019934;96,94521786877834;3,054782131221656
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;45;0,009681041057882372;0,00859181693047611;0,0007222346470064442;0,06121326433984638;0,057287847185145964;0,02264234356915773;0,0983922814954627;0,09269205430065788;0,026874423659056283;0,005700227194804813;92,24575211981323;7,754247880186779
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;60;0,013880170527363293;0,011421110603980603;0,00130021394455157;0,0797730460097654;0,06885052421906833;0,032683783057910296;0,11781413551591885;0,10686959625628144;0,0360584795097016;0,010944539259637412;89,7792565578276;10,2207434421724
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;75;0,01827882607247964;0,013975476193225962;0,00217144045561336;0,0964059411717395;0,07781892255820443;0,04186444785167922;0,13519920884561284;0,11821791824095855;0,04659871731725413;0,016981290604654295;86,55198077232008;13,448019227679906
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;90;0,02319439829642749;0,01669468676329766;0,0034147359321759184;0,11232422010844943;0,08803537853277156;0,05256814245523801;0,15229707251430505;0,1292079206678045;0,05843574190660985;0,02308915184650054;83,01922445071216;16,980775549287845
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;105;0,03055192181855898;0,01876737477602364;0,006254318739009307;0,13555494015366343;0,09544778294821553;0,07356828043876744;0,17479108048913417;0,13699406839722528;0,07908425089111805;0,03779701209190889;75,00441472815686;24,995585271843147
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;120;0,04044803706203087;0,021098342089398994;0,010102781522616363;0,16502433451478893;0,10352495165564107;0,09467404925806532;0,20111697358013042;0,14525268358759846;0,10051259385080241;0,05586428999253196;67,6204560827872;32,37954391721279
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;135;0,04311311638761629;0,02191508353350966;0,011375735831656202;0,1713065998669643;0,108243036402339;0,10289164289915517;0,20763698222526808;0,1480374396344035;0,10665709461473344;0,059599542590864585;65,8292104292293;34,17078957077068
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;150;0,050551282864718515;0,023762403977157436;0,012617723080564327;0,18937561449838589;0,11454426070433543;0,1081674144353106;0,2248361244656172;0,15415058863707734;0,11232863873725314;0,07068553582853987;65,31699006838355;34,68300993161646
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;165;0,05448080994476254;0,025167684981344318;0,01398896275973327;0,19891884572692295;0,12056248359194952;0,11400185887005272;0,23341124639734595;0,1586432632712285;0,118274945612895;0,07476798312611746;64,27436063415091;35,72563936584908
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS4_SEV4_TIME;180;0,05894427322474086;0,02672773202808734;0,014615165692308724;0,20891713757704616;0,12592908653761356;0,11693735454064696;0,24278441717857607;0,16348618298831047;0,1208931995287937;0,0792982341902656;64,64890828129231;35,351091718707686
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;0;0,0007922466492290599;0,0007922466492290599;0,0;0,021548186425470604;0,021548186425470604;0,0;0,02814687636717545;0,02814687636717545;0,0;0,0;100,0;0,0
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;15;0,001761532173810565;0,0016264768307660325;9,071785837066358e-05;0,028634254674790964;0,029051502044690394;0,0054679692239689645;0,04197061083437511;0,04032960241269473;0,009524592294196303;0,0016410084216803775;94,71708950973571;5,282910490264278
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;30;0,002982076611187372;0,0031166276642265456;0,00024732057262192;0,03930648105656478;0,039608912851494524;0,011468724222547973;0,05460839323022947;0,05582676476589473;0,01572642911222761;-0,001218371535665258;92,6479078984395;7,352092101560509
